,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,isbn,creator,subjects,publisher,publicationyear
5623,Digital,OverDrive,AUDIOBOOK,2018,1,4,"Horde: Razorland Series, Book 3 (unabridged) (Unabridged)",,Ann Aguirre,"Fantasy, Science Fiction & Fantasy, Young Adult Fiction, Young Adult Literature",Macmillan Audio,2013
5627,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Two Brides Too Many: The Sinclair Sisters of Cripple Creek Series, Book 1 (unabridged) (Unabridged)",,Mona Hodgson,"Christian Fiction, Fiction, Historical Fiction, Romance",Books on Tape,2013
5628,Digital,OverDrive,EBOOK,2018,1,23,Tenth of December: Stories,,George Saunders,"Fiction, Literature, Short Stories","Random House, Inc.",2013
5773,Digital,OverDrive,EBOOK,2018,1,1,"Summerkin: Winterling Series, Book 2",,Sarah Prineas,"Fantasy, Juvenile Fiction",HarperCollins Publishers Inc.,2013
5795,Digital,OverDrive,EBOOK,2018,1,1,Reckoning,,David Halberstam,"Business, Nonfiction",Open Road Integrated Media,2013
5823,Digital,OverDrive,EBOOK,2018,1,5,"Captivated: Donovan Legacy Series, Book 1",,Nora Roberts,"Fiction, Romance","Penguin Group (USA), Inc.",2013
5844,Digital,OverDrive,EBOOK,2018,1,1,"Waking Up with a Rake: Regency Rakes Series, Book 1",,Connie Mason,"Fiction, Historical Fiction, Romance",Sourcebooks,2013
5847,Digital,OverDrive,EBOOK,2018,1,6,"Immortal in Death: In Death Series, Book 3",,J. D. Robb,"Fiction, Romance, Suspense","Penguin Group (USA), Inc.",2013
5851,Digital,OverDrive,EBOOK,2018,1,1,Splendor,,Elana K. Arnold,"Romance, Young Adult Fiction, Young Adult Literature","Random House, Inc.",2013
5864,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Cave of Wonders: Infinity Ring Series, Book 5 (unabridged) (Unabridged)",,Matt Kirby,"Historical Fiction, Juvenile Fiction, Science Fiction",Scholastic Inc. Audiobooks,2013
5949,Digital,OverDrive,EBOOK,2018,1,3,"Seeing Red: Firefighters Series, Book 3",,Jill Shalvis,"Fiction, Romance, Suspense","Hachette Digital, Inc.",2013
5969,Digital,OverDrive,EBOOK,2018,1,3,"In Like Flynn: Molly Murphy Series, Book 4",,Rhys Bowen,"Fiction, Historical Fiction, Mystery",Macmillan Publishers,2013
6041,Digital,OverDrive,EBOOK,2018,1,9,Shantaram: A Novel,,Gregory David Roberts,"Fiction, Thriller",Macmillan Publishers,2013
6075,Digital,OverDrive,EBOOK,2018,1,1,"Born to Be Wild: The Others Series, Book 15",,Christine Warren,"Fantasy, Fiction, Romance",Macmillan Publishers,2013
6227,Digital,OverDrive,EBOOK,2018,1,3,The Psychology of Love,,Sigmund Freud,"Nonfiction, Psychology","Penguin Group (USA), Inc.",2013
6235,Digital,OverDrive,AUDIOBOOK,2018,1,1,Don't Go (Unabridged),,Lisa Scottoline,"Fiction, Suspense, Thriller",Macmillan Audio,2013
6239,Digital,OverDrive,EBOOK,2018,1,1,"Shadow of the Hegemon: Ender Wiggin: Shadow Saga, Book 2",,Orson Scott Card,"Fiction, Science Fiction",Macmillan Publishers,2013
6257,Digital,OverDrive,EBOOK,2018,1,1,Above Suspicion,,Helen Macinnes,"Fiction, Suspense, Thriller","Random House, Inc.",2013
6262,Digital,OverDrive,EBOOK,2018,1,1,Smashing Logo Design: The Art of Creating Visual Identities,,Gareth Hardy,"Computer Technology, Nonfiction","John Wiley & Sons, Inc.",2013
6294,Digital,OverDrive,EBOOK,2018,1,4,"Seven Up: Stephanie Plum Series, Book 7",,Janet Evanovich,"Fiction, Humor (Fiction), Mystery",Macmillan Publishers,2013
6334,Digital,OverDrive,EBOOK,2018,1,2,"Taking Chase: Chase Brothers Series, Book 2",,Lauren Dane,"Erotic Literature, Fiction, Romance","Samhain Publishing, Ltd.",2013
6362,Digital,OverDrive,EBOOK,2018,1,1,An Indecent Proposition,,Emma Wildes,"Fiction, Romance","Penguin Group (USA), Inc.",2013
6442,Digital,OverDrive,AUDIOBOOK,2018,1,1,Cleaning House: A Mom's Twelve-Month Experiment to Rid Her Home of Youth Entitlement (unabridged) (Unabridged),,Kay Wills Wyma,"Nonfiction, Religion & Spirituality","Christian Audio, LLC",2013
6530,Digital,OverDrive,EBOOK,2018,1,1,"Betrayal: Scarlet Deception, Book 3",,Christina Dodd,"Fiction, Romance, Suspense","Penguin Group (USA), Inc.",2013
6560,Digital,OverDrive,EBOOK,2018,1,3,Headhunters on My Doorstep: A True Treasure Island Ghost Story,,J. Maarten Troost,"Biography & Autobiography, Nonfiction","Penguin Group (USA), Inc.",2013
6570,Digital,OverDrive,AUDIOBOOK,2018,1,7,We Are All Completely Beside Ourselves: A Novel (unabridged) (Unabridged),,Karen Joy Fowler,"Fiction, Literature","Blackstone Audio, Inc.",2013
6619,Digital,OverDrive,EBOOK,2018,1,2,Once More With Feeling,,Nora Roberts,"Fiction, Humor (Fiction), Romance","Penguin Group (USA), Inc.",2013
6631,Digital,OverDrive,AUDIOBOOK,2018,1,1,Hope and Help for Your Nerves (Unabridged),,Dr. Claire Weekes,"Nonfiction, Self-Improvement",HighBridge Company,2013
6650,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Perfect Match: Blue Heron Series, Book 2 (unabridged) (Unabridged)",,Kristan Higgins,"Fiction, Romance","Blackstone Audio, Inc.",2013
6654,Digital,OverDrive,EBOOK,2018,1,1,The Spymaster's Daughter,,Jeane Westin,"Fiction, Historical Fiction","Penguin Group (USA), Inc.",2013
6661,Digital,OverDrive,AUDIOBOOK,2018,1,3,The Spirit of Kaizen: Creating Lasting Excellence One Small Step at a Time (unabridged) (Unabridged),,Bob Maurer,"Business, Nonfiction",Books on Tape,2013
6663,Digital,OverDrive,EBOOK,2018,1,2,"Come a Little Bit Closer: The Sullivans Series, Book 7",,Bella Andre,"Fiction, Romance",Oak Press LLC,2013
6667,Digital,OverDrive,EBOOK,2018,1,1,Amsterdam: A History of the World's Most Liberal City,,Russell Shorto,"History, Nonfiction, Travel","Random House, Inc.",2013
6683,Digital,OverDrive,EBOOK,2018,1,2,"Who Was Martin Luther King, Jr.?",,Bonnie Bader,"Biography & Autobiography, Juvenile Nonfiction","Penguin Group (USA), Inc.",2013
6700,Digital,OverDrive,EBOOK,2018,1,1,Like Pickle Juice on a Cookie,,Julie Sternberg,"Juvenile Fiction, Literature",ABRAMS,2013
6725,Digital,OverDrive,EBOOK,2018,1,1,Dogs of War,,Frederick Forsyth,"Fiction, Thriller","Penguin Group (USA), Inc.",2013
6729,Digital,OverDrive,EBOOK,2018,1,1,Buying Trouble: A Companion Novella to Midnight's Daughter,,Karen Chance,"Fantasy, Fiction, Romance, Thriller","Penguin Group (USA), Inc.",2013
6821,Digital,OverDrive,EBOOK,2018,1,1,"The Lost Tomb: Jack Howard Series, Book 3",,David Gibbins,"Fiction, Historical Fiction, Suspense, Thriller","Random House, Inc.",2013
6840,Digital,OverDrive,AUDIOBOOK,2018,1,2,Shade's Children (Unabridged),,Garth Nix,"Science Fiction & Fantasy, Suspense, Young Adult Fiction","Blackstone Audio, Inc.",2013
6868,Digital,OverDrive,EBOOK,2018,1,3,The Light in the Ruins,,Chris Bohjalian,"Fiction, Historical Fiction, Literature, Mystery","Random House, Inc.",2013
6878,Digital,OverDrive,EBOOK,2018,1,1,Wickedly Ever After,,Michelle Marcos,"Fiction, Historical Fiction, Romance",Macmillan Publishers,2013
6951,Digital,OverDrive,EBOOK,2018,1,1,Audrey in Rome,,Luca Dotti,"Biography & Autobiography, Nonfiction, Performing Arts, Photography",HarperCollins Publishers Inc.,2013
6952,Physical,Horizon,BOOK,2018,1,1,Hand quilted with love : patchwork projects inspired by a passion for quilting / Sarah Fielke.,,"Fielke, Sarah","Quilting, Quilting Patterns","CICO Books,",2013
6960,Digital,OverDrive,EBOOK,2018,1,1,O Come All Ye Kinky,,Sarah Frantz,"Erotic Literature, Fiction, Romance",Riptide Publishing,2013
6962,Digital,OverDrive,AUDIOBOOK,2018,1,1,Splat the Cat with a Bang and a Clang: I Can Read Level 1 (unabridged) (Unabridged),,Rob Scotton,"Beginning Reader, Humor (Fiction), Juvenile Fiction",HarperCollins Publishers Inc.,2013
6979,Digital,OverDrive,AUDIOBOOK,2018,1,3,"My Brother Is a Big, Fat Liar: Middle School Series, Book 3 (unabridged) (Unabridged)",,James Patterson,"Humor (Fiction), Juvenile Fiction","Blackstone Audio, Inc.",2013
6995,Digital,OverDrive,AUDIOBOOK,2018,1,1,Suite Francaise (Unabridged),,Irene Nemirovsky,"Fiction, Literature",Books on Tape,2013
6998,Digital,OverDrive,AUDIOBOOK,2018,1,5,The Interestings: A Novel (unabridged) (Unabridged),,Meg Wolitzer,"Fiction, Literature","Dreamscape Media, LLC",2013
7005,Digital,OverDrive,EBOOK,2018,1,1,Three Heroes,,Jo Beverley,"Fiction, Historical Fiction, Romance","Penguin Group (USA), Inc.",2013
7013,Digital,OverDrive,EBOOK,2018,1,2,"Perilous Shield: The Lost Fleet: The Lost Stars Series, Book 2",,Jack Campbell,"Fiction, Science Fiction","Penguin Group (USA), Inc.",2013
7031,Digital,OverDrive,EBOOK,2018,1,1,"People of the Silence: First North American Series, Book 8",,Kathleen O'Neal Gear,"Fiction, Historical Fiction",Macmillan Publishers,2013
7050,Digital,OverDrive,AUDIOBOOK,2018,1,1,Unfinished Business: What the Dead Can Teach Us About Life (unabridged) (Unabridged),,James Van Praagh,"New Age, Nonfiction",HarperCollins Publishers Inc.,2013
7073,Digital,OverDrive,EBOOK,2018,1,1,"Angry Lead Skies: Garrett, P.I. Series, Book 10",,Glen Cook,"Fantasy, Fiction","Penguin Group (USA), Inc.",2013
7109,Digital,OverDrive,EBOOK,2018,1,2,"Furniture Makeovers: Simple Techniques for Transforming Furniture with Paint, Stains, Paper, Stencils, and More",,Barb Blair,"Home Design & Décor, Nonfiction",Chronicle Books,2013
7158,Digital,OverDrive,EBOOK,2018,1,4,James and the Giant Peach,,Roald Dahl,"Classic Literature, Fantasy, Juvenile Fiction","Penguin Group (USA), Inc.",2013
7178,Digital,OverDrive,EBOOK,2018,1,3,"Hush Money: Spenser Series, Book 26",,Robert B. Parker,"Fiction, Mystery","Penguin Group (USA), Inc.",2013
7217,Digital,OverDrive,EBOOK,2018,1,8,"Dawn: Xenogenesis Trilogy, Book 1",,Octavia E. Butler,"Fiction, Science Fiction",Open Road Integrated Media,2013
7245,Digital,OverDrive,EBOOK,2018,1,1,"The Gold Falcon: Deverry: The Silver Wyrm Series, Book 1",,Katharine Kerr,"Fantasy, Fiction","Penguin Group (USA), Inc.",2013
7294,Digital,OverDrive,AUDIOBOOK,2018,1,2,Blood & Beauty (Unabridged),,Sarah Dunant,"Fiction, Historical Fiction",Books on Tape,2013
7300,Digital,OverDrive,AUDIOBOOK,2018,1,9,"One Summer: America, 1927 (unabridged) (Unabridged)",,Bill Bryson,"History, Nonfiction, Sociology",Books on Tape,2013
7365,Digital,OverDrive,EBOOK,2018,1,1,Lickin' License: From Lust to Love to Deception and Death,,Intelligent Allah,"African American Fiction, Erotic Literature, Fiction, Urban Fiction","wahida clark presents publishing, llc",2013
7376,Digital,OverDrive,EBOOK,2018,1,1,"Shattered Souls: Shattered Souls Series, Book 1",,Mary Lindsey,"Historical Fiction, Horror, Romance, Young Adult Fiction","Penguin Group (USA), Inc.",2013
7379,Digital,OverDrive,EBOOK,2018,1,2,It's All American Food: The Best Recipes for More than 400 New American Classics,,David Rosengarten,"Cooking & Food, Nonfiction","Hachette Digital, Inc.",2013
7383,Digital,OverDrive,EBOOK,2018,1,1,"Seventh Son: Tales of Alvin Maker, Book 1",,Orson Scott Card,"Fantasy, Fiction",Macmillan Publishers,2013
7389,Digital,OverDrive,EBOOK,2018,1,1,心理学经典实验书系：儿童心理学 (Child psychology),,Bian YuFang,"Education, Nonfiction","Zhejiang Publishing United Group Digital Media Co.,Ltd",2013
7397,Digital,OverDrive,EBOOK,2018,1,1,Here There Be Monsters,,Meljean Brook,"Fantasy, Fiction, Romance","Penguin Group (USA), Inc.",2013
7410,Digital,OverDrive,EBOOK,2018,1,1,"Piper Reed, Clubhouse Queen: Piper Reed Series, Book 2",,Kimberly Willis Holt,"Juvenile Fiction, Juvenile Literature",Macmillan Publishers,2013
7433,Digital,OverDrive,EBOOK,2018,1,2,Naughty Bedtime Stories,,Joan Elizabeth Lloyd,Fiction,"Penguin Group (USA), Inc.",2013
7482,Digital,OverDrive,EBOOK,2018,1,1,"The Deadly Race to Space: Russia: Secret Agent Jack Stalwart Series, Book 9",,Elizabeth Singer Hunt,"Juvenile Fiction, Juvenile Literature","Hachette Digital, Inc.",2013
7510,Digital,OverDrive,EBOOK,2018,1,1,"The Year's Best Science Fiction, Twelfth Annual Collection",,Gardner Dozois,"Fiction, Science Fiction, Short Stories",Macmillan Publishers,2013
7539,Digital,OverDrive,EBOOK,2018,1,20,"Raven Black: Shetland Island Mystery Series, Book 1",,Ann Cleeves,"Fiction, Mystery",Macmillan Publishers,2013
7553,Digital,OverDrive,EBOOK,2018,1,1,The Tragedy of Mister Morn,,Vladimir Nabokov,"Drama, Fiction, Literature","Random House, Inc.",2013
7554,Digital,OverDrive,EBOOK,2018,1,3,"Light in Shadow: Whispering Springs Series, Book 1",,Jayne Ann Krentz,"Fiction, Romance, Suspense","Penguin Group (USA), Inc.",2013
7587,Digital,OverDrive,AUDIOBOOK,2018,1,1,Huff and Puff Sing Along: My First I Can Read (unabridged) (Unabridged),,Tish Rabe,"Beginning Reader, Juvenile Fiction",HarperCollins Publishers Inc.,2013
7591,Digital,OverDrive,EBOOK,2018,1,1,Heretics and Heroes: How Renaissance Artists and Reformation Priests Created Our World,,Thomas Cahill,"Art, History, Nonfiction","Random House, Inc.",2013
7592,Digital,OverDrive,EBOOK,2018,1,1,The Quantum Doctor: A Quantum Physicist Explains the Healing Power of Integral Medicine,,Amit Goswami,"New Age, Nonfiction",Red Wheel Weiser Conari,2013
7632,Digital,OverDrive,EBOOK,2018,1,2,"Trouble in Texas: Deep in the Heart of Texas Series, Book 4",,Katie Lane,"Fiction, Romance, Western","Hachette Digital, Inc.",2013
7636,Digital,OverDrive,EBOOK,2018,1,1,"The Girl's Guide to (Man) Hunting: Bluebonnet Series, Book 1",,Jessica Clare,"Fiction, Romance","Penguin Group (USA), Inc.",2013
7646,Digital,OverDrive,EBOOK,2018,1,2,"The Vicious Vet: Agatha Raisin Mystery Series, Book 2",,M. C. Beaton,"Fiction, Humor (Fiction), Mystery",Macmillan Publishers,2013
7722,Digital,OverDrive,AUDIOBOOK,2018,1,2,The Piano Tuner: A Novel (unabridged) (Unabridged),,Daniel Mason,"Fiction, Literature",Books on Tape,2013
7726,Digital,OverDrive,EBOOK,2018,1,1,"Unsympathetic Magic: Esther Diamond Series, Book 3",,Laura Resnick,"Fantasy, Fiction","Penguin Group (USA), Inc.",2013
7735,Digital,OverDrive,EBOOK,2018,1,1,Bring the Outdoors In: 20 Garden Projects for the Decorating and Styling Interiors,,Shane Powers,"Home Design & Décor, Nonfiction",Chronicle Books,2013
7769,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Beautiful and the Cursed: The Dispossessed Series, Book 1 (unabridged) (Unabridged)",,Page Morgan,"Fantasy, Mystery, Suspense, Young Adult Fiction",Books on Tape,2013
7807,Digital,OverDrive,EBOOK,2018,1,1,The Secret of Happy Ever After,,Lucy Dillon,"Fiction, Literature","Penguin Group (USA), Inc.",2013
7828,Digital,OverDrive,EBOOK,2018,1,1,"The Slow Fix: Solve Problems, Work Smarter, and Live Better In a World Addicted to Speed",,Carl Honore,"Business, Nonfiction, Self-Improvement, Sociology",HarperCollins Publishers Inc.,2013
7840,Digital,OverDrive,AUDIOBOOK,2018,1,1,Life's a Witch (Unabridged),,Brittany Geragotelis,"Juvenile Fiction, Juvenile Literature, Young Adult Literature",Simon & Schuster - All Library,2013
7849,Digital,OverDrive,EBOOK,2018,1,3,"The Empress File: Kidd and LuEllen Series, Book 2",,John Sandford,"Fiction, Thriller","Penguin Group (USA), Inc.",2013
7859,Digital,OverDrive,EBOOK,2018,1,1,"The Devil's Domain: Sorrowful Mysteries of Brother Athelstan Series, Book 8",,Paul Doherty,"Fiction, Historical Fiction, Mystery",Severn House Publishers Ltd,2013
7862,Digital,OverDrive,EBOOK,2018,1,2,"A Dangerous Love: Border Chronicles, Book 1",,Bertrice Small,"Fiction, Romance","Penguin Group (USA), Inc.",2013
7912,Digital,OverDrive,EBOOK,2018,1,4,"Magic Lost, Trouble Found: Raine Benares Series, Book 1",,Lisa Shearin,"Fantasy, Fiction","Penguin Group (USA), Inc.",2013
7940,Digital,OverDrive,EBOOK,2018,1,1,One Big Thing: Discovering What You Were Born to Do,,Phil Howard Cooke,"Business, Nonfiction",Thomas Nelson Inc.,2013
7948,Digital,OverDrive,EBOOK,2018,1,2,"In Bed with the Duke: The Governess Brides Series, Book 8",,Christina Dodd,"Fiction, Historical Fiction, Romance","Penguin Group (USA), Inc.",2013
7963,Digital,OverDrive,EBOOK,2018,1,3,Double Sin and Other Stories,,Agatha Christie,"Fiction, Mystery",HarperCollins Publishers Inc.,2013
7988,Digital,OverDrive,EBOOK,2018,1,3,The Ladies of Grace Adieu and Other Stories,,Susanna Clarke,"Fiction, Literature",Bloomsbury USA,2013
7996,Digital,OverDrive,EBOOK,2018,1,1,"Tell Me, Pretty Maiden: Molly Murphy Series, Book 7",,Rhys Bowen,"Fiction, Historical Fiction, Mystery",Macmillan Publishers,2013
8048,Digital,OverDrive,EBOOK,2018,1,1,Conjured,,Sarah Beth Durst,"Mystery, Young Adult Fiction",Bloomsbury USA,2013
8053,Digital,OverDrive,AUDIOBOOK,2018,1,6,"Murder on the Flying Scotsman: Daisy Dalrymple Series, Book 4 (unabridged) (Unabridged)",,Carola Dunn,"Fiction, Mystery","Blackstone Audio, Inc.",2013
8054,Digital,OverDrive,AUDIOBOOK,2018,1,2,"A World Without Heroes: Beyonders Series, Book 1 (unabridged) (Unabridged)",,Brandon Mull,"Fantasy, Young Adult Fiction",Simon & Schuster - All Library,2013
8075,Digital,OverDrive,EBOOK,2018,1,3,Mind's Own Physician: A Scientific Dialogue with the Dalai Lama on the Healing Power of Meditation,,Jon Kabat-Zinn,"Health & Fitness, Nonfiction",New Harbinger Publications,2013
8102,Digital,OverDrive,EBOOK,2018,1,2,On the Island: A Novel,,Tracey Garvis Graves,"Fiction, Romance","Penguin Group (USA), Inc.",2013
8136,Digital,OverDrive,EBOOK,2018,1,1,"Grandad, There's a Head on the Beach: Jimm Juree Series, Book 2",,Colin Cotterill,"Fiction, Mystery",Macmillan Publishers,2013
8149,Digital,OverDrive,EBOOK,2018,1,1,"The Mark of the Vampire Queen: Vampire Queen Series, Book 2",,Joey W. Hill,"Erotic Literature, Fantasy, Fiction, Romance","Penguin Group (USA), Inc.",2013
8202,Digital,OverDrive,EBOOK,2018,1,2,Annals of the Former World,,John McPhee,"Nonfiction, Science",Macmillan Publishers,2013
8208,Digital,OverDrive,EBOOK,2018,1,1,Winter's Tide,,Lisa Williams Kline,Juvenile Fiction,Zondervan,2013
8210,Digital,OverDrive,EBOOK,2018,1,1,"The Pericles Commission: Athenian Mystery Series, Book 1",,Gary Corby,"Fiction, Historical Fiction, Mystery",Macmillan Publishers,2013
8213,Digital,OverDrive,EBOOK,2018,1,3,"The Winning Hand: MacGregor Series, Book 9",,Nora Roberts,"Fiction, Romance","Penguin Group (USA), Inc.",2013
8221,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Reinventing You: Define Your Brand, Imagine Your Future (unabridged) (Unabridged)",,Dorie Clark,"Business, Nonfiction",Gildan Media Corp,2013
8272,Digital,OverDrive,EBOOK,2018,1,5,"Death of a Hussy: Hamish Macbeth Mystery Series, Book 5",,M. C. Beaton,"Fiction, Mystery","Hachette Digital, Inc.",2013
8301,Digital,OverDrive,EBOOK,2018,1,1,The Garden District of New Orleans,,Jim Fraiser,"History, Nonfiction",University Press of Mississippi,2013
8302,Digital,OverDrive,EBOOK,2018,1,1,Night Light,,Terri Blackstock,"Fiction, Science Fiction, Suspense, Thriller",Zondervan,2013
8321,Digital,OverDrive,EBOOK,2018,1,2,"I Married the Duke: Prince Catchers Series, Book 1",,Katharine Ashe,"Fiction, Historical Fiction, Romance",HarperCollins Publishers Inc.,2013
8358,Digital,OverDrive,EBOOK,2018,1,1,"Moon Burning: Children of the Moon Series, Book 3",,Lucy Monroe,"Fantasy, Fiction, Romance","Penguin Group (USA), Inc.",2013
8411,Digital,OverDrive,EBOOK,2018,1,1,Myself and I,,Earl Sewell,"African American Fiction, Young Adult Fiction","Harlequin Enterprises, Ltd.",2013
8438,Digital,OverDrive,EBOOK,2018,1,2,Fairy Dreams (Barbie),,Mary Man-Kong,"Beginning Reader, Juvenile Fiction, Juvenile Literature","Random House, Inc.",2013
8475,Digital,OverDrive,EBOOK,2018,1,1,Mistress of Mellyn,,Victoria Holt,"Fiction, Romance",Macmillan Publishers,2013
8479,Digital,OverDrive,EBOOK,2018,1,2,"Renegade: Elite Ops Series, Book 5",,Lora Leigh,"Fiction, Romance, Suspense",Macmillan Publishers,2013
8522,Digital,OverDrive,EBOOK,2018,1,2,Lucky Penny,,Catherine Anderson,"Fiction, Romance","Penguin Group (USA), Inc.",2013
8553,Digital,OverDrive,EBOOK,2018,1,4,"Only Time Will Tell: Clifton Chronicles, Book 1",,Jeffrey Archer,"Fiction, Historical Fiction",Macmillan Publishers,2013
8557,Digital,OverDrive,EBOOK,2018,1,1,The Color Master: Stories,,Aimee Bender,"Fiction, Literature, Short Stories","Random House, Inc.",2013
8562,Digital,OverDrive,EBOOK,2018,1,1,Lifetime,,Christopher Silas Neal,"Juvenile Nonfiction, Nature",Chronicle Books,2013
8564,Digital,OverDrive,EBOOK,2018,1,1,"Shadow Puppets: Ender Wiggin: Shadow Saga, Book 3",,Orson Scott Card,"Fiction, Science Fiction",Macmillan Publishers,2013
8620,Digital,OverDrive,EBOOK,2018,1,8,"Glory in Death: In Death Series, Book 2",,J. D. Robb,"Fiction, Romance, Suspense","Penguin Group (USA), Inc.",2013
8623,Digital,OverDrive,EBOOK,2018,1,2,Steal Across the Sky,,Nancy Kress,"Fiction, Science Fiction",Macmillan Publishers,2013
8640,Digital,OverDrive,EBOOK,2018,1,1,The Married Kama Sutra: The World's Least Erotic Sex Manual,,Simon Rich,"Family & Relationships, Humor (Nonfiction), Nonfiction","Hachette Digital, Inc.",2013
8646,Digital,OverDrive,EBOOK,2018,1,2,"Fortunately, the Milk",,Neil Gaiman,"Humor (Fiction), Juvenile Fiction",HarperCollins Publishers Inc.,2013
8650,Digital,OverDrive,EBOOK,2018,1,1,Ten Billion,,Stephen Emmott,"Nonfiction, Politics, Science, Sociology","Random House, Inc.",2013
8682,Digital,OverDrive,AUDIOBOOK,2018,1,1,"In Harm's Way: Benjamin Pratt and the Keepers of the School Series, Book 4 (unabridged) (Unabridged)",,Andrew Clements,"Juvenile Fiction, Juvenile Literature",Simon & Schuster - All Library,2013
8710,Digital,OverDrive,EBOOK,2018,1,5,"Deck the Halls, We're Off the Walls!: My Weird School Special Series, Book 3",,Dan Gutman,"Humor (Fiction), Juvenile Fiction",HarperCollins Publishers Inc.,2013
8746,Digital,OverDrive,EBOOK,2018,1,1,Versailles: A Novel,,Kathryn Davis,"Fiction, Historical Fiction",Houghton Mifflin Harcourt Trade and Reference,2013
8767,Digital,OverDrive,EBOOK,2018,1,1,"A Sparrow Falls: The Courtney Family, The First Sequence Series, Book 3",,Wilbur Smith,"Fiction, Historical Fiction, Literature",Macmillan Publishers,2013
8790,Digital,OverDrive,EBOOK,2018,1,2,Time Reborn: From the Crisis in Physics to the Future of the Universe,,Lee Smolin,"Nonfiction, Science",Houghton Mifflin Harcourt Trade and Reference,2013
8801,Digital,OverDrive,EBOOK,2018,1,1,More Than Sorrow: A Mystery,,Vicki Delany,"Fiction, Mystery",Poisoned Pen Press,2013
8802,Digital,OverDrive,EBOOK,2018,1,1,"A World of Curiosities: Surprising, Interesting, and Downright Unbelievable Facts from Every Nation on the Planet",,John Oldale,"Nonfiction, Reference","Penguin Group (USA), Inc.",2013
8829,Digital,OverDrive,EBOOK,2018,1,1,Villette,,Charlotte Bronte,"Classic Literature, Fiction","Penguin Group (USA), Inc.",2013
8840,Digital,OverDrive,EBOOK,2018,1,2,Autobiography of a Corpse,,Sigizmund Krzhizhanovsky,"Fiction, Literature, Short Stories","Random House, Inc.",2013
8894,Digital,OverDrive,EBOOK,2018,1,1,The Magic Finger,,Roald Dahl,"Fantasy, Juvenile Fiction","Penguin Group (USA), Inc.",2013
8904,Digital,OverDrive,EBOOK,2018,1,1,SEAL Team Six: Memoirs of an Elite Navy SEAL Sniper,,Howard E. Wasdin,"Biography & Autobiography, History, Military, Nonfiction",Macmillan Publishers,2013
8961,Digital,OverDrive,AUDIOBOOK,2018,1,1,The Thicket (Unabridged),,Joe R. Lansdale,"Fiction, Mystery, Thriller","Blackstone Audio, Inc.",2013
9062,Digital,OverDrive,AUDIOBOOK,2018,1,4,Assignment in Eternity (Unabridged),,Robert A. Heinlein,"Fiction, Science Fiction","Blackstone Audio, Inc.",2013
9133,Digital,OverDrive,EBOOK,2018,1,3,What to Expect the First Year,,Heidi Murkoff,"Family & Relationships, Nonfiction",Workman Publishing,2013
9138,Digital,OverDrive,EBOOK,2018,1,5,Should We Eat Meat Evolution and Consequences of Modern Carnivory,,Vaclav Smil,"Nonfiction, Technology","John Wiley & Sons, Inc.",2013
9141,Digital,OverDrive,EBOOK,2018,1,1,You Are What You Wear: What Your Clothes Reveal About You,,Jennifer Baumgartner,"Art, Health & Fitness, Nonfiction, Self-Improvement","Hachette Digital, Inc.",2013
9229,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Caps For Sale: The Tale of a Peddler, Some Monkeys and Their Monkey Business (unabridged) (Unabridged)",,Esphyr Slobodkina,"Juvenile Fiction, Juvenile Literature",Live Oak Media,2013
9252,Digital,OverDrive,EBOOK,2018,1,1,Jane Austen,,Carol Shields,"Biography & Autobiography, Nonfiction","Penguin Group (USA), Inc.",2013
9271,Digital,OverDrive,EBOOK,2018,1,1,"Death on a Pale Horse: Lost Sherlock Series, Book 6",,Donald Thomas,"Fiction, Mystery",Open Road Integrated Media,2013
9295,Digital,OverDrive,EBOOK,2018,1,1,"Southern Italian Desserts: Rediscovering the Sweet Traditions of Calabria, Campania, Basilicata, Puglia,and Sicily",,Rosetta Costantino,"Cooking & Food, Nonfiction","Random House, Inc.",2013
9307,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Never Again Good-Bye: Second Chances Series, Book 1 (unabridged) (Unabridged)",,Terri Blackstock,"Christian Fiction, Fiction, Suspense",Zondervan,2013
9322,Digital,OverDrive,EBOOK,2018,1,1,Who Was Ben Franklin?,,Dennis Brindell Fradin,"Biography & Autobiography, Juvenile Nonfiction","Penguin Group (USA), Inc.",2013
9329,Digital,OverDrive,EBOOK,2018,1,3,"Whatever You Do, Don't Run: True Tales of a Botswana Safari Guide",,Peter Allison,"Nonfiction, Travel",Rowman and Littlefield Publishing Group,2013
9349,Digital,OverDrive,EBOOK,2018,1,2,Have Stakes Will Travel: Stories from the World of Jane Yellowrock (An e-Special from New American Library),,Faith Hunter,"Fantasy, Fiction","Penguin Group (USA), Inc.",2013
9361,Digital,OverDrive,EBOOK,2018,1,12,The Checklist Manifesto: How to Get Things Right,,Atul Gawande,"Business, Medical, Nonfiction",Macmillan Publishers,2013
9368,Digital,OverDrive,EBOOK,2018,1,1,"In Danger's Path: The Corps Series, Book 8",,W.E.B. Griffin,"Fiction, Historical Fiction, Thriller","Penguin Group (USA), Inc.",2013
